futile                        无用的
tautology                     赘述
long-winded                   冗长的 -verbose -prolix
sate                          使满足 使腻烦
repudiate                     正式否认
collude                       同谋
turbid                        浑浊的
supple                        灵活的
obsess                        使着迷
poise                         使平衡 -n 沉着；姿势
disarray                      混乱
menial                        卑贱的 -n 家仆
redeem                        挽回 赎回
concede                       承认
ecumenical                    (基督教各派)多元的
realm                         领域
sparkling                     闪闪发光的
boycott                       抵制
quintessential                典型的 精华的 -
vicinity                      附近
delegate                      代表 委托
beholden                      受...恩惠的
choke                         扼止 哽咽
raillery                      打趣
synonymous                    同义的
tonic                         滋补品
rancor                        怨恨
astronomical                  巨大的
heed                          留心 注意
perennial                     长久的
vociferous                    吵嚷的
revelation                    揭露
belated                       迟的
deceive                       欺骗
lavish                        过分慷慨的 非常浪费的
virulent                      有害的 有毒的 -virus
profess                       宣称 -proclaim
predicament                   困境
seminal                       有影响力的
assuage                       缓和
glum                          悲伤
curb                          限制 控制
detest                        憎恶
whit                          一点
*predilection                 倾向 -proclivity
cornerstone                   基石
cede                          割让
finicky                       挑剔的 过分讲究的
tawdry                        俗气的
mince                         切碎；委婉表达
surrogate                     代理
feat                          功绩
perilous                      危险的
*chimera                      幻想
disguise                      伪装
blunt                         迟钝的
plagiarize                    抄袭
esoteric                      深奥的 机密的
recruit                       招募
churlish                      不礼貌的 -churl 农民
wondrous                      奇异的
mellifluous                   悦耳的
consensus                     一致同意 -consent 同意
bombard                       炸弹般攻击
savor                         滋味
harbinger                     前兆
baneful                       有害的
segregate                     分离 隔
cagey                         小心地
beleague                      围攻
nominal                       名义上的 微不足道的
precedent                     先例
*recalcitrant                 不服从命令的 顽抗的
ingenious                     天才的
belie                         掩饰 与...不符
misgiving                     不安
onerous                       繁重的
lopsided                      不均衡的
auspicious                    吉利的
attenuate                     使减弱
abstruse                      深奥的 隐藏的
yield                         屈服 放弃
intransigent                  不妥协的 -transac
premonitory                   预告的
flinch                        退缩 畏惧
hierarchy                     等级制度
clandestine                   秘密的 -covert 隐蔽的
avant-garde                   先锋派
quiver                        战栗
annex                         附加
musty                         恶臭的
bequest                       遗产
understate                    少说
slump                         暴跌
amiss                         错误的
constrain                     强迫 限制
wieldy                        适合的
usurp                         篡夺
calamity                      大灾难
apocryphal                    伪造的
benevolent                    仁慈的
frivolous                     无意义的 轻率的 -frivolity 轻浮
deify                         奉为神
mutate                        改变
solitary                      单独的
emblem                        象征 徽章
hard-nosed                    顽强的
molder                        腐朽 -mold 模型；发霉
ameliorate                    改善 -mitigate -extenu
senescence                    衰老 -sen 老
sturdy                        强壮的 健全的
burgeon                       暴涨
deprecate                     反对
eloquent                      能说会道的 -rhetoric
peruse                        仔细研读
ailment                       疾病
hypocrisy                     虚伪
astringent                    严厉的 -
stanch                        止血
distill                       蒸馏 提炼
anachronism                   不合时代
irascible                     易怒的
sketchy                       粗略的
prototype                     原型
juxtapose                     并排放置
quiescent                     静止的
stifle                        遏制 窒息 -shackle 束缚
urbane                        礼貌的
subdue                        制服
consolidate                   巩固 -solidate/solitu
propound                      提议
advocate                      提倡 拥护
ennui                         无聊
evocative                     唤起的 -
collective                    共同的
rescind                       废除法律
proscriptive                  剥夺人权的
abash                         使羞愧
eclectic                      兼收并蓄的 -lec 收集
corollary                     推论
provoke                       激起
bypass                        绕过 -circumvent
luxuriant                     茂盛的
adulation                     恭维
painstaking                   勤奋的
disavow                       否认 -
*entice                       诱惑
tout                          兜售
distend                       膨胀
daunting                      令人畏惧的
hiatus                        间歇
disclose                      揭发
contour                       轮廓
recant                        正式否认
detriment                     破坏
incursion                     侵入  -incur 引起
meretricious                  华而不实的
exiguous                      稀少的
legitimate                    合法的
pernicious                    有害的
exasperate                    使生气
puncture                      刺穿
sartorial                     衣服相关的
empower                       授权
bristle                       鬃毛 -v 发怒
reverent                      恭敬的
ooze                          渗出 凸显 -n 淤泥
omniscient                    无所不知的 -sci 知
untoward                      意外的
prone                         倾向的
aver                          断言
proponent                     支持者
proselytize                   使改变信仰
eulogize                      称赞
occult                        神秘的 超自然的 隐蔽
discriminatory                歧视的
impair                        损害 削弱
backfire                      事与愿违
indict                        指控
dubious                       可疑的
gut                           内脏 胆量
mendacious                    欺骗的 -mendacity
snag                          小障碍
pertain                       相关 合适 -v
shoddy                        劣质的
lush                          茂盛的 奢华的
acquisitive                   贪婪的
clairvoyance                  洞察力
regimen                       养生法
habitable                     宜居的
fitful                        断续的 不规律的
inchoate                      早期的
solicitous                    热心的 关心的
unassuming                    谦虚的
fluid                         液体 -adj 流动的
pinnacle                      顶点
indebted                      受惠的 负债的
displace                      移动 替换
avaricious                    贪婪的
*rankle                       使痛苦
captivate                     吸引 -enamored 被迷住的
glamorous                     有魅力的 迷人的
run-of-the-mill               平凡的
vitriol                       刻薄话 硫酸盐
apt                           合适的 灵巧的
phenomenal                    显著的
envision                      想象
soft-pedal                    弱音踏板
winnow                        筛选
dispute                       争辩
perpetuate                    持续
ubiquitous                    无处不在的
extraneous                    不重要的 -irrelev
implicate                     牵涉
implacable                    不能安抚的
banish                        驱逐
bemoan                        哀悼
intact                        完整的
cloying                       令人腻烦的
conform                       遵守 符合
oust                          驱逐 -expel
libertine                     放荡的
acrimony                      犀利 尖刻
clot                          凝结成块
copious                       大量的
commensurate                  相等的
precede                       先于 -predate antedat
dearth                        缺乏
iconoclastic                  有悖传统信仰的
xenophobic                    排外的
demise                        死亡 让位 转让
eligible                      合格的
decimate                      大量毁灭
renounce                      拒绝 否认
waver                         摇摆
posit                         假定
attain                        达到 获得
parody                        拙劣模仿
unrivaled                     无敌的
profusion                     丰富
dictate                       命令 支配
*vestige                      遗迹
lambaste                      严厉斥责
insidious                     潜伏的 阴险的
rebound                       振作 弹回
strenuous                     费力的
dwindle                       下降
undermine                     削弱
embellish                     装饰
condone                       原谅
minuscule                     微小的
remuneration                  酬金
abound                        丰富 盛产
pathogen                      病原体 -patho 病
enforce                       强制 实施
*rile                         激怒
resurgence                    复苏
cosset                        溺爱
vagary                        奇想
demoralize                    使泄气 -moral 士气
vituperate                    辱骂
herald                        预告 传达
recollect                     记忆
cachet                        威望
invidious                     令人反感的
procure                       取得 获得
constrict                     压缩 收紧 限制
customary                     习惯的
perfidious                    不诚实的 -perfidy 不忠诚
admonish                      劝告
cordial                       热诚的
digress                       离题 -gress 走
instantiate                   例证
objection                     反对 -objectionable 反感的
evangelist                    传教士
provident                     有远见的；节俭的
exotic                        外来的
entrench                      牢固地确立 -n 壕沟
peremptory                    专横的 -empt 拿
callous                       无情的
upshot                        结局
niche                         壁龛 小众市场 称心的工作 等
precipitate                   突然发生 -n 沉淀
*haphazard                    胡乱的 偶然的
scrupulous                    小心谨慎的
querulous                     抱怨的
stigma                        耻辱
nugatory                      琐碎的 没用的
circumvent                    规避
glut                          过量 供过于求
*guzzle                       狂饮 饱食
panorama                      全景
exemplar                      典型
adjudicate                    判决
recrudesce                    复发
expository                    解释的
commensurable                 相称的 能比较的
inoculate                     免疫接种 灌输
incisive                      直接的 尖锐的
unsparing                     无情的
annotate                      注释
jeopardize                    危险
collegiality                  共同掌权
honorific                     尊敬的
quenchless                    不可熄灭的
personable                    品貌兼优的
traumatic                     创伤的
*hoary                        老掉牙的
guile                         欺骗
opulent                       富裕的
overdue                       延误的
genial                        友好的
encomium                      赞美 -tribute 致敬
seemly                        得体的
demographic                   人口统计相关的
token                         象征
bolster                       支持 -bu
sanction                      批准 -n 制裁
tectonic                      地质构造的
deplete                       耗尽
fickle                        易变的
surreptitious                 鬼祟的 -rep -sub
stingy                        吝啬
harrow                        折磨
compassionate                 同情
forerunner                    先驱
menace                        威胁
gridlock                      僵局
pedantic                      卖弄知识的 -ped 教育
unconscionable                没良心的
entrust                       委托 托付
emend                         修订
hamper                        阻碍
*obstinate                    固执的
agglomerate                   聚集 -adj 成团的
malleable                     韧性的 有延展性的
tenacity                      坚定
placate                       安抚 -appeas
evasive                       逃避的 推脱的 闪烁其词的
subvert                       推翻 颠覆
anecdote                      轶事
*indolent                     懒惰的
*commiserate                  同情
monarchy                      君主制
seclusion                     隔离 隐居
dampen                        抑制
insensitive                   不在乎的
provisional                   临时的
noisome                       有害的 恶臭的
eclipse                       黯然失色
exculpate                     开脱罪责 -culp 罪
laconic                       简洁的
discursive                    离题的
taint                         玷污
replete                       充满的 -plet 满
impecunious                   贫穷的
congruity                     一致
bungle                        搞糟
engaging                      吸引人的
prodigal                      奢侈浪费的
obviate                       避免
*deject                       使沮丧
slender                       纤细的 微弱的 不足的
restive                       不服管理的
dexterous                     灵巧的 -dexterity
abjure                        发誓放弃
lachrymose                    催泪的
retaliatory                   报复的
rebut                         驳回
purview                       眼界 视野
exterminate                   灭绝
negligent                     疏忽的
derogate                      贬低 -rog 说
*languish                     衰落 潦倒
synchronous                   同时的
forestall                     阻止
compelling                    有说服力的 有趣的
palliate                      减轻
orientation                   取向
unilateral                    单方面的
*dissemble                    掩饰
pompous                       浮华的 自大的 -pomp 炫耀
fraudulence                   欺诈
snub                          怠慢 冷落
scintillating                 闪烁的 妙趣横生的 -scint 火花
resume                        恢复
pejorative                    轻蔑的
immolate                      做祭品 用火摧毁
enigmatic                     难懂的
indiscriminate                不加区分的
tenable                       站得住脚的
obtrude                       强行 强迫
rehash                        重提（没实质改变）-recycl
garner                        谷仓 -v 贮藏 获得
innate                        天生的
accentuate                    强调
debilitate                    使衰弱
overwrought                   紧张的
*divest                       剥夺
rhapsody                      狂想曲
effusive                      溢于言表的
courteous                     有礼貌的
mundane                       平凡的 世俗的
forthwith                     立刻
immortal                      不朽的
malodorous                    难闻的
debacle                       惨败
*indulgent                    放纵的
pecuniary                     金钱上的
conspire                      协力 共谋
aggrandize                    夸大
indemnify                     赔偿
phlegmatic                    冷静的
primitive                     原始的
pathetic                      可怜的
diffuse                       扩散
contingent                    小分队 -adj 依情况而定的
aberrant                      异常的
impudent                      粗鲁的 无礼的
relegate                      降级
redolent                      芬芳的
sensational                   极好的/骇人听闻的
cavalier                      漫不经心的 随意的 -骑士
prosecute                     起诉 控告
apprehend                     理解 逮捕
maze                          迷宫
jockey                        赛马骑师；不择手段谋取
croon                         低吟浅唱
discerning                    有洞察力的 -discriminat
beget                         导致 引起
hand-wringing                 绝望的
irk                           使恼怒
strident                      尖锐刺耳的
awry                          斜的 错误的
*capitulate                   认输
contrite                      后悔的
facet                         某一方面
accord                        一致
confer                        授予
superficial                   肤浅的
protean                       多变的
diffident                     胆怯地
susceptible                   易受影响的
inexorable                    无情的
protagonist                   主角 主人公
deter                         阻止
adamant                       坚决的
flair                         天分
eliminate                     去掉
overt                         明显的
trendy                        时髦的
efficacious                   有效果的
prestige                      声望
hortatory                     劝告的 激励的
conscientious                 良心的
benign                        良性的
morale                        士气
calumniate                    诽谤 中伤
ethereal                      天上的 飘逸的
self-defeating                弄巧成拙的
malinger                      为逃避工作装病
confiscate                    没收
timorous                      胆怯地
stipulate                     规定
*indignant                    愤怒的
soporific                     令人昏昏欲睡的
heartfelt                     真诚的
lapse                         失效 -n 疏忽
impinge                       撞击 妨碍
concur                        同意
chastise                      严惩
peregrination                 游历
incense                       激怒 -cend 火
brandish                      挥舞 炫耀
pliable                       柔韧的
innocuous                     无害的
disgorge                      吐出 -gorge 喉咙
revile                        辱骂 -vile 邪恶
rouse                         奋起
consort                       陪伴
feign                         假装
whimsy                        突发奇想
*delude                       哄骗
dissent                       不同意 -sent 想法 -consent 同意
canny                         聪明的
rant                          咆哮
univocal                      单意的 意义明确的
ascertain                     查明
apocalypse                    大灾难
illustrious                   杰出的 -prominen
*swill                        狂饮
subterfuge                    诡计
conspicuous                   明显的
subsequent                    随后的
concord                       意见一致
interlope                     干涉
chivalrous                    勇敢的
pathological                  病态的
free-for-all                  混战
exclusive                     专用的 排外的
vilify                        诽谤
punctilious                   谨慎小心的
indigenous                    固有的 天生的
barbarity                     野蛮
grudge                        不满 怨恨
rebuff                        断然拒绝
palatable                     美味的
perturb                       使不安
deflate                       使泄气
appease                       安抚
*purvey                       提供 供应
encroach                      侵占
reluctant                     不情愿的
staggering                    令人震惊的
surmise                       猜测
aggravate                     恶化
predicate                     断言
clamorous                     吵闹的
reticent                      沉默寡言的
nebulous                      模糊的
trepidation                   恐惧
bountiful                     丰富的 慷慨的
conflate                      合并
specious                      似是而非的
laborious                     费力的
adjunct                       附件
momentous                     重要的
intuition                     直觉
ennoble                       使高贵
exposition                    阐释
presage                       预示 -sag感知
testimony                     证据
*dispassionate                客观的
synoptic                      提纲的 -
numinous                      神秘的 超自然的
defer                         顺从 推迟
rambling                      闲逛的 冗长的
proclivity                    倾向
prosaic                       普通的 -prose 散文
esteem                        尊敬
canonical                     典范的
malfeasance                   违法行为
*magnanimous                  大度的
pastoral                      乡村的
remiss                        玩忽职守的
backwater                     死水 停滞
scorn                         鄙视
codify                        编纂 整理
flippant                      轻率的 无礼的 -
venerate                      尊敬
uproarious                    喧闹的
decrepitude                   衰老
relish                        欣赏 品味
requisite                     必要的
temptation                    诱惑
revolt                        反叛 厌恶
consilience                   一致 符合
reiterate                     重申
monochromatic                 单调的
impeach                       控告 怀疑
unrelenting                   无情的 无休止的
prophetic                     预言的
heresy                        异端
vacuousness                   空虚 -vacuity 空白
halcyon                       平静的 -hal 海
taxing                        繁重劳累的
immure                        囚禁
galvanize                     刺激 激励
pertinent                     相关的
cleave                        劈开
evanescent                    短暂的
antecedent                    先前的
underlie                      成为根据
balk                          畏缩不前
permanent                     永久的
interweave                    交织
elaborate                     精心的
resign                        辞职
overblow                      夸大
quaff                         畅饮
parley                        谈判
meager                        不足的
pensive                       沉思的
defy                          不服从 抵抗 -defiant 反抗的
warble                        低吟浅唱
contempt                      轻视 -contemptuous
cloak                         伪装
entreat                       恳求
penurious                     贫穷的
lugubrious                    悲伤的
bent                          弯曲的 -n 癖好
hyperbole                     夸张
retention                     保留
obdurate                      固执的
insouciance                   无忧无虑
redoubtable                   肃然起敬的
skittish                      易激动的 轻佻的
truism                        真理
meddle                        干涉
notorious                     臭名昭著的
orthodox                      正统的
conciliatory                  调和的 安抚的
chicanery                     欺骗
hinder                        阻碍
propitiate                    安抚
indefatigable                 不知疲倦的
snob                          势利小人
exert                         运用
prolix                        冗长的
anatomize                     解剖
distress                      紧张
crass                         愚笨的
bequeath                      遗赠 留传
indifferent                   漠不关心的 中立的
*malign                       诋毁 -adj 恶性的
preeminent                    杰出的 -eminent 杰出的
prospect                      前景
percussion                    敲打
underpin                      支撑
resilient                     有弹性的
veto                          否决
heterogeneous                 多种多样的
*oblique                      倾斜的 间接的
apathy                        冷漠
belittle                      轻视
backhanded                    含沙射影讽刺挖苦的
viable                        可行的
eminent                       杰出的
synergy                       协同作用
truculent                     易怒的 好斗的
agreeable                     宜人的
*banal                        陈腐的 平庸的
teem                          充满
remonstrate                   抗议
extenuate                     减轻（罪行）
chic                          时尚的
milieu                        周围 环境
preponderance                 （数量上的）优势
piety                         虔诚 -pious
polemical                     好争辩的 -contentious
expiate                       赎罪 -pius 虔诚
prefigure                     预示
infuriate                     激怒
prognosis                     预测 诊断
egregious                     极坏的 -flagrant
disgruntle                    使不高兴
protract                      延长 拖延
whisk                         拂
deleterious                   有害的
unyielding                    固执的 -implacab
vertiginous                   令人眩晕的
fecund                        多产的
torpor                        麻木 迟钝
outrage                       使生气
onset                         开始
pragmatic                     实际的
circuitous                    迂回的
accede                        正式加入 同意
divisive                      制造分裂的
declamatory                   演说般的
unseemly                      不得体的
pique                         激怒
fortuitous                    偶然的
falsify                       篡改 伪造
redundant                     冗余的
exigent                       紧急的
caterwauld                    发出难听的声音 -shriek
adhere                        附着
*obtrusive                    突出的 显眼的
vanquish                      战胜
preempt                       占先 取代 -empt 拿
devolve                       移交 衰落 -volve 转
*varnish                      装饰
ambivalent                    矛盾的
*plod                         沉重地走
surfeit                       过量 过度
divulge                       泄露
sloth                         懒惰
impeccable                    完美无瑕的
elucidate                     阐明
downright                     完全地
deterrent                     威慑力
preach                        布道 说教 -preachy 好为人师的
slight                        微小的 -v 轻视
proverbial                    家喻户晓的
penitential                   后悔的
volition                      自愿决定 意愿
inscrutable                   神秘莫测的
nuance                        细微差异
delve                         探究
inure                         使习惯于
erratic                       飘忽不定的 古怪的
liken                         比较
fallacy                       错误
apostle                       门徒 倡导者
bogus                         假的
invoke                        引述；祈求
fixate                        全神贯注
minutia                       细节
impugn                        指摘 -pugn 打
resolute                      坚决的 不动摇的
*bleak                        阴暗的
dilatory                      拖拉的
vindicate                     证明清白
verifiable                    可验证的
deft                          灵巧的
tumultuous                    混乱的
guileful                      狡诈的
flit                          快速移动
nondescript                   没有特色的
spurious                      假的
integrity                     正直
*snappish                     暴躁的
veer                          改变方向
incumbent                     在职的 义不容辞的
deference                     顺从 尊敬
coalesce                      合并 -coalition 联合
ramification                  结果 分支
brackish                      有咸味的（水）
aghast                        吃惊的
sway                          摇摆
excavate                      挖出
repel                         击退
detract                       贬低 减损
perceptive                    有洞察力的 -percept 感知
acumen                        聪明
ancillary                     辅助的
penitent                      悔过的
insatiable                    无法满足的 贪得无厌的
exhaustive                    彻底的 全面的
provincial                    眼光窄的
precursor                     先驱
neologism                     新词
sham                          虚假的
proximity                     接近
rejuvenate                    使重新有活力
certitude                     确信
makeshift                     权宜的
sheer                         完全的；陡峭的
lenient                       仁慈的 宽容的
nefarious                     罪恶的
thwart                        阻挠
luminary                      杰出人物
insurrection                  造反
hindrance                     障碍
prevaricate                   搪塞 支吾
visionary                     有远见的
leach                         过滤掉
meander                       漫无目的闲逛
plaintive                     悲伤的
ensue                         紧随其后
misnomer                      误称
tweak                         拧 微调
partial                       有偏见的
multifarious                  各种各样的
impose                        强加
polyglot                      多语言的 -glot 舌头
discrepancy                   差异
warrant                       保证 依据 -unwarranted 无依据的
counterintuitive              反直觉的
analogous                     相似的
involuntary                   无意识的 非自愿的
salient                       显著的
proprietary                   所有物 专有的
elude                         逃避
schism                        分裂
submiss                       投降 屈服
anathema                      讨厌的东西
riot                          暴乱
depict                        描述
debunk                        揭穿真相
substantiate                  证实
construe                      分析 解释
levity                        轻率
authenticate                  验证
slapdash                      草率的
trite                         陈腐的
meticulous                    谨慎的
lethargic                     无精打采的 -somnolen
vexation                      烦恼 -vex 烦恼
outstrip                      超过
spartan                       简朴的
fester                        腐烂
explicit                      清楚的
credential                    凭证
anneal                        退火 锻炼
fad                           一时得流行
primacy                       首要
disquiet                      使不安
sever                         切断
*flout                        蔑视
ponder                        沉思
mortify                       使尴尬 使受辱
penance                       忏悔
pry                           窥探
credulous                     易受欺骗的 轻信的
affluent                      富裕的
burlesque                     滑稽模仿
approbate                     认可
eject                         喷出 驱逐
agog                          渴望的
prevalent                     流行的 普遍的
delineate                     描述 刻画
underrate                     低估
quell                         镇压
facetious                     爱开玩笑的
enduring                      持久的
exonerate                     免罪
spew                          喷出
peripatetic                   巡游的 -itineran
panacea                       万能灵药
*travesty                     拙劣的模仿
allure                        引诱
roost                         栖息
obtuse                        迟钝的
succinct                      简洁的
egalitarian                   平等主义的
*surly                        粗暴的
upheaval                      巨变
ominous                       不吉利的 -omen 预兆
fungible                      可代替的
feasible                      可行的
don                           穿上
camaraderie                   友情
imperative                    命令的
conjure                       用魔术变出
sweeping                      全面的
preoccupied                   全神贯注的
reproach                      谴责
chauvinistic                  
diminutive                    极小的 -minuscul
knotty                        复杂的
subsist                       维持生存
impunity                      免罪
adroit                        熟练的 机巧的
testy                         易怒的
*grandstand                   博眼球的
uncanny                       怪异的 神秘的
*feckless                     没有价值的 不负责的
airtight                      密封的 无懈可击的
exploit                       开采 利用 -n 成就
tribulation                   苦难
munificient                   慷慨的
brusque                       粗鲁的 莽撞的
authoritative                 权威的
proscribe                     禁止
categorical                   绝对的
rampant                       蔓延的
shun                          回避
sullen                        阴沉的
endemic                       地方性的
blithe                        欢乐的 -grave 重大的
perfunctory                   敷衍草率的 -curs
jubilant                      喜悦的
*outlandish                   奇异的 异国的
murk                          昏暗
perforce                      必然的 -adv
amorphous                     不固定形状的
coruscate                     闪烁
composed                      镇静的
sleek                         圆滑的
ruthless                      无情的
kindred                       亲属 -adj 类似的
flatter                       谄媚
trenchant                     犀利的
harness                       马具 -v 控制
tarnish                       玷污
loath                         不情愿的
benighted                     无知的 愚昧的
condescend                    屈尊
affirmative                   肯定的 积极的
secular                       世俗的
devious                       曲折的 不正直的 -via
decelerate                    减缓
dichotomy                     一分为二 -dicho -
eyesore                       碍眼的事物
valediction                   告别
straggle                      散乱 落后
impertinent                   莽撞的
extol                         赞美
providential                  凑巧的 幸运的
gawky                         笨拙的
exalt                         提升
narcissism                    自恋
hallow                        崇敬
reprehend                     斥责
wholesale                     大规模的
marginal                      边缘的
advertent                     小心的
riveting                      吸引人的
iterate                       重复
perplex                       使困惑
concomitant                   伴随的
charlatan                     假充内行者 骗子
wrench                        歪曲 扭伤
cajole                        哄骗
verve                         热情
fathom                        理解
explicate                     解释
hearten                       鼓舞
portend                       预示
comity                        礼仪
escalate                      恶化 升级
tenuous                       薄的 细的
stratum                       层 -stratify
mirth                         欢乐
witty                         机智幽默的
bustling                      忙乱的
divination                    预言 占卜
obsequious                    奉承的
furtive                       鬼祟的
tactless                      粗鲁的 不得体的
quizzical                     疑问的
relinquish                    放弃 -linqu 离开
insolent                      无礼的
*counterfeit                  伪造的
plead                         恳求 辩护
diatribe                      谩骂
justification                 正当理由
ferocious                     凶猛的 强烈的
parity                        平等
underplay                     轻描淡写
ploy                          策略 手段
impetuous                     冲动的 鲁莽的
eradicate                     摧毁 根除
ludicrous                     滑稽可笑的 -lud 玩
congruous                     一致的 适当的
epitome                       缩影 典型
concoct                       捏造
imperil                       使处于危险
disinterested                 公正的
curtail                       削减
subservient                   卑躬屈膝的
staple                        主要 主食 -adj  基本的
contrive                      设计 发明
contingency                   偶发事件
penchant                      倾向
inconsequential               不重要的
heartrending                  心塞的
retain                        保留
overshadow                    使阴暗
inflammatory                  煽动性的 -inflame 发怒
rue                           懊悔
jovial                        快乐的
humdrum                       乏味的
deflect                       使偏离
cantankerous                  易吵架的
gracious                      和蔼的 有礼貌的
askew                         斜的
antithetical                  对立的
hew                           劈 遵守
supplicate                    恳求 -entr
panache                       派头
*scathing                     尖酸刻薄的
commonplace                   平庸
avert                         防止 避免
unanimous                     意见一致的
vigilant                      警惕的
allege                        断言
authoritarian                 专制的
enliven                       使活跃
override                      推翻 凌驾
illuminate                    阐明
wont                          惯于
glisten                       闪烁光芒的
improvise                     即兴创作
euphemism                     委婉语
*aplomb                       自信沉着
paraphernalia                 全套装备
gambit                        策略
florid                        过分花哨的
wholesome                     有益健康的
belabor                       批评
detritus                      碎石 瓦砾
myriad                        大量的
glib                          轻率的 随口说的
curt                          简短的 草率的
pedigree                      血统
cacophony                     刺耳的声音 -caco 坏的
sage                          圣人 -adj 智慧的
vapid                         无聊的
derision                      嘲笑
hoodwink                      欺骗
audacious                     大胆的 -audacity 勇敢的
draconian                     极其严苛的
abate                         减弱
pilfer                        偷窃
formidable                    令人畏惧的
sentimental                   多愁善感的
espouse                       拥护
hodgepodge                    混合物
corroborate                   佐证
lull                          使平静
quirky                        奇怪的
figurative                    比喻的
premeditate                   预谋
plethora                      大量 -ple 满
obstreperous                  不服管的
impasse                       僵局 绝境
boost                         增加促进
ridicule                      嘲笑
ineffable                     难以言表的
dire                          可怕的
daredevil                     鲁莽的
vacillate                     摇摆 犹豫 -irresolu
tackle                        应对 处理
chagrin                       烦恼
asunder                       分离的
demonstrable                  可证明的
heredity                      遗传
denigrate                     诋毁
pertinacious                  坚持的 固执的
cryptic                       神秘的 隐蔽的
*vainglory                    虚荣心
annals                        编年史 历史记载
overbearing                   专横傲慢
relenting                     变温和 -v
equitable                     平等的
