abate                                             减弱
brainchild                                        劳动成果
proselytize                                       使改变信仰
misnomer                                          误称
duplicitous                                       骗人的 两面派的 -duplicate
anodyne                                           止痛的 平淡无奇的
presumptuous                                      自以为是的
hindrance                                         障碍
lurid                                             可怕的
meticulous                                        谨慎的
rebound                                           振作 弹回
primacy                                           首要
antipathetic                                      厌恶的
recrudescent                                      复发的
succumb                                           屈服
droll                                             古怪的
tendentious                                       有偏向的
exploit                                           开采 利用 -n 成就
spacious                                          宽敞的
agreeable                                         宜人的
contour                                           轮廓
unilateral                                        单方面的
impertinent                                       莽撞的
entreat                                           恳求
blithe                                            欢乐的 -grave 重大的
envision                                          想象
conspire                                          协力 共谋
impetuous                                         冲动的 鲁莽的
petty                                             不重要的
calamity                                          大灾难
evasive                                           逃避的 推脱的 闪烁其词的
hodgepodge                                        混合物
predicate                                         断言
refuge                                            避难所
taint                                             玷污
disparage                                         轻视 贬低 -par 相等
gridlock                                          僵局
sheer                                             完全的；陡峭的
consort                                           陪伴
ascribe                                           归因于
detritus                                          碎石 瓦砾
forbidding                                        令人畏惧的 -daunt
condemn                                           谴责
ape                                               笨拙得模仿
outlandish                                        奇异的 异国的
halfhearted                                       不认真的
panorama                                          全景
oracle                                            先知
lachrymose                                        催泪的
animadversion                                     谴责
customary                                         习惯的
devolve                                           移交 衰落 -volve 转
hereabouts                                        在附近
humanitarian                                      人道的
retaliatory                                       报复的
contingency                                       偶发事件
fervent                                           热烈的
obliterate                                        抹去 使消失 -liter 擦
conceive                                          构想
neologism                                         新词
rapacious                                         贪婪的
quenchless                                        不可熄灭的
reiterate                                         重申
sever                                             切断
juxtapose                                         并排放置
acquisitive                                       贪婪的
magnanimous                                       大度的
belabor                                           批评
sanctimonious                                     假正经的
delve                                             探究
stale                                             陈腐的
adamant                                           坚决的
ordain                                            授予圣职；规定
lest                                              -conj 唯恐
transient                                         短暂的
tectonic                                          地质构造的
vagary                                            奇想
nondescript                                       没有特色的
abridge                                           缩短
corollary                                         推论
travesty                                          拙劣的模仿
foreground                                        强调
tautology                                         赘述
machination                                       诡计
heterodox                                         异端邪说的
surly                                             粗暴的
didactic                                          教学的
vainglory                                         虚荣心
cordial                                           热诚的
copious                                           大量的
scant                                             缺乏的
tantamount                                        相当的
anachronism                                       不合时代
censure                                           批评
ameliorate                                        改善 -mitigate -extenu
adorn                                             装饰
obstruct                                          妨碍
taxing                                            繁重劳累的
invective                                         猛烈抨击
vehement                                          感情强烈的
bestow                                            授予
evangelist                                        传教士
hortatory                                         劝告的 激励的
niche                                             壁龛 小众市场 称心的工作 等
prestige                                          声望
exhale                                            呼出 -in
oblique                                           倾斜的 间接的
modish                                            流行的
detriment                                         破坏
bleak                                             阴暗的
disclose                                          揭发
rehash                                            重提（没实质改变）-recycl
suffrage                                          选举权
peccadillo                                        小过失
hurtle                                            猛冲
dwindle                                           下降
underscore                                        强调
intriguing                                        有趣的
vulgar                                            粗俗的 -n 平民
attain                                            达到 获得
pernicious                                        有害的
implacable                                        不能安抚的
flighty                                           见异思迁的 反复无常的
corroborate                                       佐证
pertinacious                                      坚持的 固执的
contingent                                        小分队 -adj 依情况而定的
pellucid                                          清澈的 透明的
evince                                            表明
mercenary                                         唯利是图的 -merchant
gawky                                             笨拙的
consummate                                        圆满的
dispassionate                                     客观的
slender                                           纤细的 微弱的 不足的
roil                                              搅乱
impunity                                          免罪
purvey                                            提供 供应
platitude                                         陈词滥调
commiserate                                       同情
brandish                                          挥舞 炫耀
immerse                                           浸泡
aghast                                            吃惊的
undo                                              松开 解开 取消
haphazard                                         胡乱的 偶然的
feckless                                          没有价值的 不负责的
chimera                                           幻想
germane                                           有关的
commend                                           赞许 推荐
viable                                            可行的
morbid                                            病态的
disarray                                          混乱
genteel                                           有教养的
aberrant                                          异常的
profane                                           不敬 亵渎
profusion                                         丰富
execrate                                          憎恶 诅咒
pervasive                                         普遍的 -pervad
peerless                                          无与伦比的
preeminent                                        杰出的 -eminent 杰出的
paraphernalia                                     全套装备
mordant                                           刻薄的
juvenile                                          幼稚
quizzical                                         疑问的
pugnacious                                        好斗的 -
nefarious                                         罪恶的
cacophony                                         刺耳的声音 -caco 坏的
supple                                            灵活的
nonchalant                                        漠不关心的
leaven                                            酵母 使生动
pique                                             激怒
abjure                                            发誓放弃
riot                                              暴乱
redoubtable                                       肃然起敬的
ephemeral                                         短暂的
complaisant                                       顺从的 殷勤的
fleeting                                          短暂的
sanguine                                          乐观的
petulant                                          易怒的
seemly                                            得体的
opaque                                            不透明的
abdicate                                          退位 放弃（权力）
wane                                              衰退 月亏
abeyance                                          中止 暂停
painstaking                                       勤奋的
impede                                            阻碍 -impediment
unrelenting                                       无情的 无休止的
intuition                                         直觉
authenticate                                      验证
adhere                                            附着
pastoral                                          乡村的
precede                                           先于 -predate antedat
notorious                                         臭名昭著的
apposite                                          合适的
debonair                                          男子温文尔雅的
revere                                            崇敬
objection                                         反对 -objectionable 反感的
boost                                             增加促进
disprove                                          反驳 证明虚假
yardstick                                         准绳
amenable                                          顺从的
sensational                                       极好的/骇人听闻的
erect                                             直立的
fraught                                           充满的
exacerbate                                        恶化
perishable                                        短暂的
usurp                                             篡夺
pivotal                                           中枢的 关键的
adulation                                         恭维
counterfeit                                       伪造的
downright                                         完全地
perception                                        知觉 察觉
detrimental                                       有害的
monochromatic                                     单调的
sycophantic                                       奉承的
anomalous                                         异常的
fastidious                                        挑剔的
beleague                                          围攻
panacea                                           万能灵药
lugubrious                                        悲伤的
luxuriant                                         茂盛的
tacit                                             默许的 心照不宣的
empower                                           授权
placid                                            平静的
collective                                        共同的
constrain                                         强迫 限制
impinge                                           撞击 妨碍
incorrigible                                      屡教不改的
hubris                                            自大
formulaic                                         刻板的
dexterous                                         灵巧的 -dexterity
exasperate                                        使生气
perplex                                           使困惑
collude                                           同谋
defy                                              不服从 抵抗 -defiant 反抗的
adulterate                                        掺假 -
numinous                                          神秘的 超自然的
impulsive                                         冲动的
harbinger                                         前兆
exalt                                             提升
straggle                                          散乱 落后
pedigree                                          血统
prompt                                            促进；敏捷的
apocryphal                                        伪造的
genial                                            友好的
propitiate                                        安抚
luminary                                          杰出人物
extraneous                                        不重要的 -irrelev
visionary                                         有远见的
verve                                             热情
liken                                             比较
risible                                           可笑的 滑稽的
contentious                                       有争论的
blunt                                             迟钝的
subvert                                           推翻 颠覆
incentive                                         激励
disengage                                         使解脱
overstate                                         夸大
vicinity                                          附近
barbarity                                         野蛮
pliable                                           柔韧的
forestall                                         阻止
persevere                                         坚持
deter                                             阻止
tactless                                          粗鲁的 不得体的
abominate                                         憎恨
debacle                                           惨败
prime                                             首要的 -v 使准备好
saturnine                                         乖戾的
turbulent                                         混乱的
endemic                                           地方性的
menial                                            卑贱的 -n 家仆
oust                                              驱逐 -expel
penitential                                       后悔的
upshot                                            结局
slump                                             暴跌
defer                                             顺从 推迟
crass                                             愚笨的
scrutiny                                          细看
fester                                            腐烂
devastate                                         严重破坏
delude                                            哄骗
prototype                                         原型
repel                                             击退
snappish                                          暴躁的
polyglot                                          多语言的 -glot 舌头
circumvent                                        规避
mawkish                                           多愁善感的
innocuous                                         无害的
reprisal                                          报复
blight                                            破坏 凋萎
sagacious                                         聪明的
akin                                              相似的
despotic                                          独裁的 专制的
gleam                                             微光
hitch                                             故障
jaded                                             厌倦的
deject                                            使沮丧
vanquish                                          战胜
precarious                                        危险的
woo                                               求爱 寻求支持
mortify                                           使尴尬 使受辱
piety                                             虔诚 -pious
immolate                                          做祭品 用火摧毁
encomium                                          赞美 -tribute 致敬
veracity                                          诚实 -veracious 诚实的
glean                                             慢慢收集
confiscate                                        没收
retribution                                       惩罚
mercurial                                         易变的 反复无常的 -mercury 水银
advertent                                         小心的
retention                                         保留
tenable                                           站得住脚的
pine                                              渴望 -n  松树
sidestep                                          绕过
mollify                                           安抚
truism                                            真理
backfire                                          事与愿违
derision                                          嘲笑
outmoded                                          过时的
frivolous                                         无意义的 轻率的 -frivolity 轻浮
renowned                                          出名的
pseudonym                                         假名
alienate                                          疏远
offish                                            冷漠的 疏远的
vexation                                          烦恼 -vex 烦恼
cloak                                             伪装
finicky                                           挑剔的 过分讲究的
bombard                                           炸弹般攻击
flout                                             蔑视
subdue                                            制服
improvise                                         即兴创作
veracious                                         真诚的
momentous                                         重要的
egotism                                           自大
prospect                                          前景
deterrent                                         威慑力
complacent                                        自满的 -
pedantic                                          卖弄知识的 -ped 教育
involuntary                                       无意识的 非自愿的
gracious                                          和蔼的 有礼貌的
recalcitrant                                      不服从命令的 顽抗的
hectic                                            忙的
lassitude                                         无精打采
opulent                                           富裕的
preoccupied                                       全神贯注的
realm                                             领域
traumatic                                         创伤的
vestige                                           遗迹
snare                                             陷阱 -v 捕捉
brag                                              吹嘘
conjure                                           用魔术变出
embolden                                          鼓舞 -bold 勇敢
exotic                                            外来的
rant                                              咆哮
sullen                                            阴沉的
knotty                                            复杂的
ennui                                             无聊
perfunctory                                       敷衍草率的 -curs
disperse                                          分散
adroit                                            熟练的 机巧的
loath                                             不情愿的
expatriate                                        移民国外 驱逐
abiding                                           持久的
sordid                                            卑鄙的
debilitate                                        使衰弱
commensurate                                      相等的
tarnish                                           玷污
arcane                                            神秘的 难懂的
irk                                               使恼怒
avian                                             鸟类的
terse                                             简洁的
obtrusive                                         突出的 显眼的
dichotomy                                         一分为二 -dicho -
gossamer                                          轻而薄的 虚无缥缈的 -n 蛛丝
banal                                             陈腐的 平庸的
indiscriminate                                    不加区分的
composed                                          镇静的
eligible                                          合格的
hone                                              磨练（技能）
whimsy                                            突发奇想
grandstand                                        博眼球的
temper                                            脾气 -v 缓和
abnegate                                          否认 放弃
oppressive                                        压迫的
coalesce                                          合并 -coalition 联合
trendy                                            时髦的
contempt                                          轻视 -contemptuous
unerring                                          准确的 无偏差的
flit                                              快速移动
eject                                             喷出 驱逐
disparate                                         不同的
stymie                                            阻碍
exorbitant                                        过度的
indulgent                                         放纵的
mishap                                            不幸
flabbergast                                       使吃惊 -gho
dissent                                           不同意 -sent 想法 -consent 同意
underrate                                         低估
indignant                                         愤怒的
omniscient                                        无所不知的 -sci 知
capitulate                                        认输
extinguish                                        熄灭 -do
hamper                                            阻碍
discerning                                        有洞察力的 -discriminat
wistful                                           伤感的
recapitulate                                      总结
sturdy                                            强壮的 健全的
pith                                              精力
tweak                                             拧 微调
venerate                                          尊敬
clot                                              凝结成块
entice                                            诱惑
reconciliate                                      和解
rhapsody                                          狂想曲
exile                                             放逐 流放
rouse                                             奋起
forbear                                           忍耐
nugatory                                          琐碎的 没用的
tonic                                             滋补品
confer                                            授予
denigrate                                         诋毁
augment                                           放大
remiss                                            玩忽职守的
irritate                                          激怒
aplomb                                            自信沉着
ethereal                                          天上的 飘逸的
cantankerous                                      易吵架的
alacrity                                          活泼 欣然 -allegro
formidable                                        令人畏惧的
ooze                                              渗出 凸显 -n 淤泥
auspicious                                        吉利的
one-of-a-kind                                     独一无二
plagiarize                                        抄袭
sequester                                         使隔离
recant                                            正式否认
iconoclastic                                      有悖传统信仰的
illustrious                                       杰出的 -prominen
languish                                          衰落 潦倒
unkempt                                           不整洁的
caustic                                           刻薄的 -acerb
lucid                                             清晰的
mutate                                            改变
canonical                                         典范的
uprising                                          起义
pilfer                                            偷窃
sublime                                           崇高的 宏伟的 -v 升华
underpin                                          支撑
plod                                              沉重地走
interjection                                      插话
xenophobic                                        排外的
partial                                           有偏见的
ascetic                                           禁欲的 苦行的
coy                                               腼腆的
quash                                             废除 镇压
muckrake                                          揭露丑闻
underplay                                         轻描淡写
posture                                           姿势 态度 立场
clique                                            小团体
impolitic                                         不明智的
hamstring                                         损坏
plethora                                          大量 -ple 满
quotidian                                         日常的
jeopardize                                        危险
credential                                        凭证
deify                                             奉为神
fractious                                         易怒的 -skIttish 易怒的
obstinate                                         固执的
heed                                              留心 注意
abrade                                            磨损 折磨
diminutive                                        极小的 -minuscul
weary                                             疲倦的
culmination                                       极点 高潮 成就
exhilarate                                        使兴奋
aggrieve                                          使痛苦
devoid                                            缺乏的
scrupulous                                        小心谨慎的
providential                                      凑巧的 幸运的
vainglorious                                      自负的
revitalize                                        使复活
purport                                           意图 主旨
urbane                                            礼貌的
undermine                                         削弱
tenacity                                          坚定
synonymous                                        同义的
relenting                                         变温和 -v
supplicate                                        恳求 -entr
plead                                             恳求 辩护
sporadic                                          偶发的
evanescent                                        短暂的
equanimity                                        平静
placate                                           安抚 -appeas
remuneration                                      酬金
rife                                              流行的 普遍的
predilection                                      倾向 -proclivity
intrinsic                                         内在的
vindicate                                         证明清白
concede                                           承认
parsimony                                         吝啬
laudatory                                         赞美的 -laud 赞美
nimble                                            灵活的
aesthetic                                         美学的
superficial                                       肤浅的
replenish                                         补充 -plen 满
emblem                                            象征 徽章
egalitarian                                       平等主义的
hazardous                                         危险的
bent                                              弯曲的 -n 癖好
marginal                                          边缘的
token                                             象征
assiduous                                         努力的
dewy-eyed                                         天真的
hoary                                             老掉牙的
temperate                                         温和的
rambling                                          闲逛的 冗长的
virulent                                          有害的 有毒的 -virus
retreat                                           撤退
increment                                         增长
detract                                           贬低 减损
duplicate                                         复制
verge                                             边缘 接近
stonewall                                         拖延 拒绝合作
negligent                                         疏忽的
apostle                                           门徒 倡导者
epitome                                           缩影 典型
rejuvenate                                        使重新有活力
partisan                                          党羽
counterintuitive                                  反直觉的
parley                                            谈判
requisite                                         必要的
sham                                              虚假的
scarce                                            缺乏
demolish                                          摧毁
predicament                                       困境
exterminate                                       灭绝
agglomerate                                       聚集 -adj 成团的
hew                                               劈 遵守
inveterate                                        根深蒂固的 -in -vet 老
bogus                                             假的
atavism                                           返祖现象 -av祖先
fallacy                                           错误
siphon                                            虹吸
conspicuous                                       明显的
eradicate                                         摧毁 根除
stalemate                                         僵局
whit                                              一点
pillory                                           批评
seethe                                            生闷气
forsake                                           放弃
coterie                                           小兴趣团体
avert                                             防止 避免
hierarchy                                         等级制度
derogate                                          贬低 -rog 说
affinity                                          密切关系
objurgation                                       斥责
swill                                             狂饮
circumspect                                       小心谨慎的
guild                                             协会
staggering                                        令人震惊的
prognosis                                         预测 诊断
shackle                                           阻碍
jockey                                            赛马骑师；不择手段谋取
minuscule                                         微小的
facile                                            肤浅的
equilibrium                                       平衡
lull                                              使平静
satiate                                           使充分满足
disdain                                           鄙视
divest                                            剥夺
cogent                                            有说服力的
glib                                              轻率的 随口说的
guzzle                                            狂饮 饱食
snobbish                                          自命不凡的
forthcoming                                       即将到来的
advocate                                          提倡 拥护
vacuousness                                       空虚 -vacuity 空白
perceptive                                        有洞察力的 -percept 感知
enervate                                          使衰弱 -
repudiate                                         正式否认
prosaic                                           普通的 -prose 散文
disparate                                         不同类的
belated                                           迟的
restorative                                       滋补品
munificient                                       慷慨的
amiss                                             错误的
profess                                           宣称 -proclaim
onset                                             开始
multitudinous                                     大量的
interweave                                        交织
gall                                              胆汁 擦伤
gadfly                                            讨人厌者 牛虻
synopsis                                          概要
paragon                                           典范
tackle                                            应对 处理
complaisant                                       恭敬地
asseverate                                        郑重声明
overt                                             明显的
mordant                                           刻薄的
inchoate                                          早期的
steadfast                                         坚定不移地
expostulate                                       争论 反驳
modicum                                           少量
acquiesce                                         默许
supersede                                         取代 -preempt
lambaste                                          严厉斥责
engender                                          产生
whet                                              削尖
musty                                             恶臭的
ailment                                           疾病
utilitarian                                       实用的
propitious                                        吉祥的
fealty                                            忠诚
snag                                              小障碍
goad                                              刺激
obtrude                                           强行 强迫
rive                                              劈开
varnish                                           装饰
lurid                                             耸人听闻的
figurative                                        比喻的
spartan                                           简朴的
assail                                            批评；攻击
rant                                              咆哮
implicate                                         牵涉
tilt                                              倾斜
rampant                                           蔓延的
tepid                                             冷淡的
consensus                                         一致同意 -consent 同意
integrity                                         正直
tenuous                                           薄的 细的
skullduggery                                      欺骗
excavate                                          挖出
refractory                                        不服管的 倔强的
disavow                                           否认 -
stilted                                           生硬的
hoodwink                                          欺骗
orthodox                                          正统的
untether                                          释放
acuity                                            敏锐
submiss                                           投降 屈服
penchant                                          倾向
methodology                                       方法论
perilous                                          危险的
prolix                                            冗长的
castigate                                         严厉批评
compelling                                        有说服力的 有趣的
chagrin                                           烦恼
depict                                            描述
grudge                                            不满 怨恨
magisterial                                       权威的
congenial                                         友善的
exposition                                        阐释
exigent                                           紧急的
camaraderie                                       友情
halcyon                                           平静的 -hal 海
forgo                                             放弃
resume                                            恢复
intensify                                         使加剧
yearn                                             渴望
debunk                                            揭穿真相
fathom                                            理解
panegyric                                         赞美
narcissism                                        自恋
disconcerting                                     不安的
ingenuous                                         真诚的 -ingenuous/ingenious 天才的
contiguous                                        相邻的
salient                                           显著的
anatomize                                         解剖
compliment                                        赞美
punctilious                                       谨慎小心的
turbid                                            浑浊的
congruity                                         一致
prevalent                                         流行的 普遍的
resilient                                         有弹性的
captivate                                         吸引 -enamored 被迷住的
judicious                                         有正确判断力的
accountable                                       负有责任的
scintillating                                     闪烁的 妙趣横生的 -scint 火花
intransigent                                      不妥协的 -transac
cagey                                             小心地
harrow                                            折磨
enmity                                            敌意
sonorous                                          声音洪亮的
wholesale                                         大规模的
presage                                           预示 -sag感知
ominous                                           不吉利的 -omen 预兆
volition                                          自愿决定 意愿
analogous                                         相似的
provoke                                           激起
incisive                                          直接的 尖锐的
valorize                                          规定价格
exuberant                                         生机勃勃的 热情洋溢的
oratorical                                        演说的
espouse                                           拥护
contagious                                        传染的
forerunner                                        先驱
lavish                                            过分慷慨的 非常浪费的
dreary                                            沉寂的
domesticate                                       驯养
diatribe                                          谩骂
reconcile                                         使和解
daunting                                          令人畏惧的
auspicious                                        吉利的
hoax                                              欺骗
pathos                                            同情
escalate                                          恶化 升级
apocryphal                                        伪造的
cavalier                                          漫不经心的 随意的 -骑士
cede                                              割让
uneventful                                        平凡的
surreptitious                                     鬼祟的 -rep -sub
justification                                     正当理由
manacle                                           手铐 -manus 手
daredevil                                         鲁莽的
pompous                                           浮华的 自大的 -pomp 炫耀
concoct                                           捏造
intermediary                                      中间人
stifle                                            遏制 窒息 -shackle 束缚
panoply                                           全副 全套
limpid                                            清澈的 透明的
verisimilitude                                    逼真
jejune                                            无聊的 -vapid
untoward                                          意外的
chastise                                          严惩
intangible                                        接触不到的
elusive                                           难以捕捉的
adjudicate                                        判决
divination                                        预言 占卜
fissure                                           裂缝
prolific                                          多产的
eloquent                                          能说会道的 -rhetoric
fraudulence                                       欺诈
evenhanded                                        公平的
bungle                                            搞糟
prevaricate                                       搪塞 支吾
makeshift                                         权宜的
expedite                                          加快
deft                                              灵巧的
vertiginous                                       令人眩晕的
credulous                                         易受欺骗的 轻信的
demarcate                                         划分边界 -mark
girth                                             尺寸
estrange                                          疏远
unwitting                                         不知情的 无意的
penitent                                          悔过的
malfeasance                                       违法行为
omnipresent                                       无处不在的 -
bucolic                                           田园的
heterogeneous                                     各种各样的 -homogeneous 同类的
relinquish                                        放弃 -linqu 离开
displace                                          移动 替换
lopsided                                          不均衡的
subsequent                                        随后的
pinnacle                                          顶点
legitimate                                        合法的
spiteful                                          恶毒的
unconscionable                                    没良心的
discern                                           察觉 识别
caterwauld                                        发出难听的声音 -shriek
controversial                                     有争议的
blemish                                           玷污
quixotic                                          不切实际的 -Quixote 堂吉诃德
sap                                               活力
occlude                                           阻塞
upheaval                                          巨变
precursor                                         先驱
needy                                             贫穷的
transcend                                         超越
dilatory                                          拖拉的
avaricious                                        贪婪的
invidious                                         令人反感的
bland                                             无聊的
eviscerate                                        除去内脏 沉重打击
discrepancy                                       差异
proverbial                                        家喻户晓的
protagonist                                       主角 主人公
far-fetched                                       牵强附会的
overbearing                                       专横傲慢
hinder                                            阻碍
egregious                                         极坏的 -flagrant
provident                                         有远见的；节俭的
concise                                           简洁
chic                                              时尚的
pejorative                                        轻蔑的
conform                                           遵守 符合
rote                                              死记硬背
douse                                             熄灯
bequeath                                          遗赠 留传
tawdry                                            俗气的
antithetical                                      对立的
free-for-all                                      混战
adverse                                           不利的 -adversary 对手
beholden                                          受...恩惠的
moralistic                                        说教的
discredit                                         使不可信 败坏名声
fickle                                            易变的
parity                                            平等
engaging                                          吸引人的
insurrection                                      造反
penance                                           忏悔
abhor                                             厌恶
synchronous                                       同时的
torpor                                            麻木 迟钝
embellish                                         装饰
peregrination                                     游历
self-righteous                                    自以为是的
eliminate                                         去掉
dispense                                          分配
furtive                                           鬼祟的
seminal                                           有影响力的
reticent                                          沉默寡言的
indifferent                                       漠不关心的 中立的
heartfelt                                         真诚的
contradictory                                     对立的
irenic                                            爱好和平的
cajole                                            哄骗
forge                                             伪造 ；缔造
consolidate                                       巩固 -solidate/solitu
ludicrous                                         滑稽可笑的 -lud 玩
perspicacious                                     有洞察力的
seclusion                                         隔离 隐居
glut                                              过量 供过于求
consign                                           委托 托运
